timestamp,trip_id,route_id,trip_start_time,trip_start_date,vehicle_id,vehicle_label,vehicle_license_plate,latitude,longitude,bearing,speed,stop_id,stop_status,occupancy_status,congestion_level,progress,block_assigned,dist_along_route,dist_from_stop,mid,stop_sequence
2023-05-17 06:21:30+00,KB_B3-Weekday-SDon-011000_BX9_602,BX9,,2023-05-17,MTA NYCT_5335,,,40.852123,-73.882050,255.96,,100642,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,,1844850,
2023-05-17 06:21:22+00,GH_B3-Weekday-SDon-012000_BX402_2,BX40,,2023-05-17,MTA NYCT_5319,,,40.847942,-73.888466,334.11,,102373,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,,1844850,
2023-05-17 06:21:36+00,EN_B3-Weekday-SDon-014000_B42_501,B42,,2023-05-17,MTA NYCT_7905,,,40.637810,-73.894157,318.11,,303351,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,,1844850,
2023-05-17 06:21:20+00,EN_B3-Weekday-SDon-014000_B82_601,B82,,2023-05-17,MTA NYCT_7909,,,40.646675,-73.880371,137.53,,304085,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,,1844850,
2023-05-17 06:21:26+00,EN_B3-Weekday-SDon-011700_B14_701,B14,,2023-05-17,MTA NYCT_7923,,,40.673771,-73.861954,284.03,,301555,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,,1844850,
2023-05-17 06:21:14+00,EN_B3-Weekday-SDon-012000_B17_751,B17,,2023-05-17,MTA NYCT_7918,,,40.638962,-73.881592,33.42,,301726,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,,1844850,
2023-05-17 06:21:23+00,FB_B3-Weekday-SDon-012000_B41_202,B41,,2023-05-17,MTA NYCT_7949,,,40.656109,-73.959984,283.78,,303307,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,,1844850,
2023-05-17 06:21:28+00,FB_B3-Weekday-SDon-013800_B46_402,B46,,2023-05-17,MTA NYCT_7941,,,40.619560,-73.926956,95.93,,303592,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,,1844850,
2023-05-17 06:21:31+00,FB_B3-Weekday-SDon-015500_B41_201,B41,,2023-05-17,MTA NYCT_7936,,,40.609394,-73.921867,138.37,,300163,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,,1844850,
2023-05-17 06:21:07+00,FB_B3-Weekday-SDon-007800_B46_401,B46,,2023-05-17,MTA NYCT_7960,,,40.709446,-73.959595,339.25,,307919,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,,1844850,
2023-05-17 06:21:34+00,FB_B3-Weekday-SDon-012000_B44_301,B44,,2023-05-17,MTA NYCT_7958,,,40.649769,-73.949471,276.48,,303473,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,,1844850,
2023-05-17 06:21:24+00,OF_B3-Weekday-SDon-012000_SBS60_502,M60+,,2023-05-17,MTA NYCT_5444,,,40.768963,-73.911674,351.63,,505254,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,,1844850,
2023-05-17 06:21:33+00,OF_B3-Weekday-SDon-012800_SBS60_501,M60+,,2023-05-17,MTA NYCT_5461,,,40.767403,-73.899498,170.99,,503870,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,,1844850,
2023-05-17 06:21:15+00,OF_B3-Weekday-SDon-154300_SBS60_539,M60+,,2023-05-16,MTA NYCT_5465,,,40.807510,-73.964386,233.57,,402018,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,,1844850,
2023-05-17 06:21:07+00,MQ_B3-Weekday-SDon-012000_SBS23_801,M23+,,2023-05-17,MTA NYCT_5490,,,40.733013,-73.974541,285.38,,402054,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,,1844850,
2023-05-17 06:21:13+00,FP_B3-Weekday-SDon-011000_Q58_803,Q58,,2023-05-17,MTA NYCT_7745,,,40.742626,-73.854599,297.38,,503489,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,,1844850,
2023-05-17 06:21:04+00,FP_B3-Weekday-SDon-011000_Q54_701,Q54,,2023-05-17,MTA NYCT_7746,,,40.714386,-73.929329,174.66,,307857,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,,1844850,
2023-05-17 06:21:14+00,FP_B3-Weekday-SDon-013700_Q55_501,Q55,,2023-05-17,MTA NYCT_7744,,,40.703072,-73.859726,174.06,,504359,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,,1844850,
2023-05-17 06:21:20+00,JG_B3-Weekday-SDon-152500_B8_151,B8,,2023-05-16,MTA NYCT_786,,,40.656246,-73.913170,319.87,,307954,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,,1844850,
2023-05-17 06:21:26+00,EN_B3-Weekday-SDon-154900_B15_159,B15,,2023-05-16,MTA NYCT_7736,,,40.655602,-73.911766,189.26,,301056,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,,1844850,
2023-05-17 06:21:12+00,JG_B3-Weekday-SDon-153500_B6769_940,B67,,2023-05-16,MTA NYCT_780,,,40.664078,-73.983910,230.46,,305680,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,,1844850,
2023-05-17 06:21:24+00,JA_B3-Weekday-SDon-154500_MISC_894,Q3,,2023-05-16,MTA NYCT_7766,,,40.701935,-73.765648,138.72,,500183,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,,1844850,
2023-05-17 06:21:25+00,FP_B3-Weekday-SDon-011400_Q54_702,Q54,,2023-05-17,MTA NYCT_7757,,,40.711578,-73.858139,351.27,,504274,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,,1844850,
2023-05-17 06:21:16+00,EN_B3-Weekday-SDon-013000_Q24_402,Q24,,2023-05-17,MTA NYCT_7791,,,40.677158,-73.897217,284.04,,302073,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,,1844850,
2023-05-17 06:21:07+00,JA_B3-Weekday-SDon-156800_MISC_892,Q85,,2023-05-16,MTA NYCT_7778,,,40.685707,-73.773117,324.90,,500543,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,,1844850,
2023-05-17 06:21:33+00,WF_B3-Weekday-SDon-155500_BX11_241,BX11,,2023-05-16,MTA NYCT_703,,,40.834766,-73.869949,102.68,,102391,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,,1844850,
2023-05-17 06:21:12+00,WF_B3-Weekday-SDon-010000_BX11_202,BX11,,2023-05-17,MTA NYCT_716,,,40.849110,-73.938011,168.92,,903274,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,,1844850,
2023-05-17 06:21:33+00,WF_B3-Weekday-SDon-010500_BX21_401,BX21,,2023-05-17,MTA NYCT_727,,,40.810295,-73.928284,218.66,,101473,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,,1844850,
